b,Tiempo de despolarización,Tiempo de repolarización,Tiempo de hiperpolarización
0.0,22.95229522952295,15.351535153515353,231.97319731973198
0.21470588235294116,22.752275227522752,16.001600160015997,214.47144714471446
0.4294117647058823,22.6022602260226,16.5016501650165,199.019901990199
0.6441176470588235,22.45224522452245,17.001700170017003,185.76857685768576
0.8588235294117647,22.302230223022303,17.451745174517452,173.8173817381738
1.0735294117647058,22.202220222022202,17.901790179017897,163.61636163616362
1.288235294117647,22.1022102210221,18.45184518451845,154.51545154515452
1.5029411764705882,22.002200220022,19.001900190019004,146.46464646464648
1.7176470588235293,21.9021902190219,19.55195519551955,139.16391639163916
1.9323529411764704,21.85218521852185,20.102010201020104,132.56325632563255
2.1470588235294117,21.85218521852185,20.65206520652065,126.46264626462647
2.361764705882353,21.85218521852185,21.202120212021203,120.96209620962097
2.576470588235294,21.85218521852185,21.8021802180218,115.96159615961594
2.791176470588235,21.85218521852185,22.352235223522353,111.21112111211119
3.0058823529411764,21.8021802180218,23.05230523052305,106.8106810681068
3.2205882352941173,21.75217521752175,23.752375237523754,102.76027602760276
3.4352941176470586,21.702170217021703,24.55245524552455,98.95989598959898
3.65,21.652165216521652,25.402540254025396,95.45954595459546
3.8647058823529408,21.602160216021602,26.2026202620262,92.10921092109211
4.079411764705882,21.55215521552155,27.05270527052705,89.008900890089
4.294117647058823,21.5021502150215,28.052805280528048,86.00860086008602
4.508823529411765,21.45214521452145,29.102910291029104,83.25832583258325
4.723529411764706,21.45214521452145,30.303030303030305,80.6080608060806
4.938235294117646,21.4021402140214,31.453145314531454,78.10781078107811
5.152941176470588,21.35213521352135,32.9032903290329,75.75757575757576
5.367647058823529,21.3021302130213,34.3034303430343,73.45734573457347
5.58235294117647,21.25212521252125,36.003600360036,71.25712571257125
5.797058823529412,21.25212521252125,37.85378537853785,69.15691569156915
6.011764705882353,21.2021202120212,40.004000400040006,67.15671567156716
6.226470588235293,21.2021202120212,42.6042604260426,65.20652065206521
6.441176470588235,21.15211521152115,45.654565456545654,63.30633063306331
6.655882352941176,21.102110211021103,49.25492549254925,61.4061406140614
6.870588235294117,21.102110211021103,54.2054205420542,59.55595559555957
7.0852941176470585,21.15211521152115,61.8061806180618,57.65576557655764
7.3,21.15211521152115,76.35763576357635,55.55555555555556
