a,Tiempo de despolarización,Tiempo de repolarización,Tiempo de hiperpolarización
-1.0,1.1301130113011304,5.710571057105712,25.802580258025802
-0.9591836734693877,1.4201420142014207,4.75047504750475,25.212521252125217
-0.9183673469387755,1.4401440144014401,4.1104110411041095,24.652465246524653
-0.8775510204081632,1.8701870187018699,3.1503150315031494,24.012401240124014
-0.8367346938775511,1.530153015301531,3.1203120312031185,23.272327232723274
-0.7959183673469388,1.5701570157015698,2.8402840284028414,22.57225722572257
-0.7551020408163265,1.6001600160016007,2.7502750275027505,21.872187218721873
-0.7142857142857143,1.6201620162016201,2.680268026802681,21.4021402140214
-0.6734693877551021,1.6401640164016396,2.6902690269026905,21.042104210421044
-0.6326530612244898,1.7001700170016996,2.6602660266026597,20.842084208420847
-0.5918367346938775,1.7301730173017305,2.620262026202621,20.742074207420742
-0.5510204081632654,1.7701770177017693,2.6002600260026014,20.73207320732073
-0.5102040816326531,1.8101810181018099,2.5202520252025202,20.83208320832083
-0.4693877551020409,1.8201820182018196,2.5102510251025105,20.99209920992099
-0.4285714285714286,1.8601860186018602,2.500250025002501,21.272127212721273
-0.3877551020408164,1.9001900190019008,2.47024702470247,21.64216421642164
-0.34693877551020413,1.9301930193019299,2.4002400240024,22.12221222122212
-0.30612244897959184,1.9701970197019705,2.310231023102311,22.752275227522752
-0.26530612244897966,2.0002000200019996,2.310231023102311,23.58235823582358
-0.22448979591836737,2.05020502050205,2.1502150215021505,24.76247624762476
-0.1836734693877552,2.0902090209020905,1.9601960196019608,84.42844284428443
-0.1428571428571429,2.1302130213021293,1.7901790179017905,84.47844784478448
-0.10204081632653073,2.16021602160216,1.6901690169016916,84.44844484448444
-0.061224489795918435,2.2102210221022105,1.480148014801479,84.46844684468446
-0.020408163265306145,2.7002700270027002,0.8200820082008207,84.48844884488449
0.020408163265306145,2.3002300230023014,1.1601160116011595,84.36843684368436
0.06122448979591821,2.59025902590259,0.690069006900691,84.36843684368436
0.1020408163265305,2.3702370237023693,0.7300730073007298,84.40844084408441
0.1428571428571428,2.0902090209020905,0.6700670067006698,84.49844984498449
0.18367346938775508,1.9301930193019299,0.5700570057005709,84.42844284428443
0.22448979591836715,1.6701670167016704,0.5300530053005303,84.49844984498449
0.26530612244897944,1.300130013001299,0.6000600060006,84.46844684468446
0.30612244897959173,0.9500950095009486,0.35003500350035033,84.64846484648464
0.346938775510204,0.5600560056005595,0.2500250025002497,84.75847584758476
0.3877551020408163,0.17001700170016854,0.1300130013001315,84.86848684868487
0.4285714285714284,0.0,100.0,0.0
0.46938775510204067,0.0,100.0,0.0
0.510204081632653,0.0,100.0,0.0
0.5510204081632653,0.0,100.0,0.0
0.5918367346938773,0.0,100.0,0.0
0.6326530612244896,0.0,100.0,0.0
0.6734693877551019,0.0,100.0,0.0
0.7142857142857142,0.0,100.0,0.0
0.7551020408163265,0.0,100.0,0.0
0.7959183673469385,0.0,100.0,0.0
0.8367346938775508,0.0,100.0,0.0
0.8775510204081631,0.0,100.0,0.0
0.9183673469387754,0.0,100.0,0.0
0.9591836734693877,0.0,100.0,0.0
1.0,0.0,100.0,0.0
