I_max,Tiempo de despolarización,Tiempo de repolarización,Tiempo de hiperpolarización
0.0,0.0,100.0,0.0
0.02040816326530612,0.0,100.0,0.0
0.04081632653061224,0.0,100.0,0.0
0.061224489795918366,0.0,100.0,0.0
0.08163265306122448,0.0,100.0,0.0
0.1020408163265306,0.0,100.0,0.0
0.12244897959183673,0.0,100.0,0.0
0.14285714285714285,0.0,100.0,0.0
0.16326530612244897,0.0,100.0,0.0
0.18367346938775508,0.0,100.0,0.0
0.2040816326530612,0.0,100.0,0.0
0.22448979591836732,0.0,100.0,0.0
0.24489795918367346,0.0,100.0,0.0
0.26530612244897955,0.0,100.0,0.0
0.2857142857142857,0.0,100.0,0.0
0.3061224489795918,0.0,100.0,0.0
0.32653061224489793,0.0,100.0,0.0
0.3469387755102041,0.0,100.0,0.0
0.36734693877551017,0.0,100.0,0.0
0.3877551020408163,0.0,100.0,0.0
0.4081632653061224,0.0,100.0,0.0
0.42857142857142855,0.5100510051005109,0.34003400340033885,84.70847084708471
0.44897959183673464,1.14011401140114,0.5300530053005303,84.48844884488449
0.4693877551020408,1.650165016501651,0.7400740074007395,84.34843484348434
0.4897959183673469,2.1802180218021796,0.7000700070007007,84.36843684368436
0.5102040816326531,2.71027102710271,0.6400640064006407,84.42844284428443
0.5306122448979591,2.3902390239023905,1.3901390139013916,84.45844584458446
0.5510204081632653,2.370237023702371,1.7701770177017693,84.52845284528453
0.5714285714285714,2.380238023802381,2.17021702170217,84.53845384538454
0.5918367346938775,2.380238023802381,2.5702570257025705,84.50845084508451
0.6122448979591836,2.3502350235023517,2.8502850285028494,84.58845884588459
0.6326530612244897,2.380238023802381,3.100310031003101,84.62846284628463
0.6530612244897959,2.3302330233023305,3.3603360336033603,84.6984698469847
0.673469387755102,2.3302330233023305,3.7403740374037415,84.57845784578458
0.6938775510204082,2.3002300230023014,4.000400040004001,84.57845784578458
0.7142857142857142,2.29022902290229,4.21042104210421,84.58845884588459
0.7346938775510203,2.260226022602261,4.430443044304431,84.59845984598459
0.7551020408163265,2.260226022602261,4.69046904690469,84.52845284528453
0.7755102040816326,2.260226022602261,4.830483048304831,84.55845584558456
0.7959183673469387,2.2402240224022396,4.990499049904992,84.57845784578458
0.8163265306122448,2.200220022002201,5.150515051505151,84.59845984598459
0.836734693877551,2.17021702170217,5.350535053505352,84.56845684568457
0.8571428571428571,2.16021602160216,5.480548054805482,84.57845784578458
0.8775510204081632,2.16021602160216,5.620562056205621,84.55845584558456
0.8979591836734693,2.1002100210021,5.700570057005702,84.57845784578458
0.9183673469387754,2.07020702070207,5.840584058405842,84.56845684568457
0.9387755102040816,2.070207020702071,5.9005900590059,84.58845884588459
0.9591836734693877,2.04020402040204,6.110611061106111,84.48844884488449
0.9795918367346939,2.0402040204020393,6.120612061206122,84.56845684568457
1.0,2.04020402040204,6.240624062406241,84.52845284528453
