c1,Tiempo de despolarización,Tiempo de repolarización,Tiempo de hiperpolarización
0.1,4.96049604960496,6.160616061606161,12.55125512551255
0.13877551020408163,4.73047304730473,6.640664066406643,13.1013101310131
0.17755102040816328,4.580458045804581,6.8106810681068115,13.591359135913592
0.2163265306122449,4.450445044504451,7.140714071407139,14.061406140614064
0.25510204081632654,4.35043504350435,7.090709070907092,14.46144614461446
0.29387755102040813,4.25042504250425,7.120712071207123,14.841484148414843
0.3326530612244898,4.150415041504151,7.240724072407241,15.21152115211521
0.37142857142857144,4.07040704070407,7.4007400740074,15.591559155915597
0.4102040816326531,3.9903990399039904,7.550755075507553,15.961596159615958
0.44897959183673475,3.9203920392039207,7.550755075507549,16.281628162816283
0.4877551020408163,3.8603860386038606,7.740774077407741,16.63166316631663
0.5265306122448979,3.7803780378037795,7.81078107810781,16.941694169416945
0.5653061224489796,3.7403740374037406,7.770777077707772,17.211721172117212
0.6040816326530613,3.7003700370037,7.850785078507851,17.53175317531753
0.6428571428571428,3.6303630363036303,7.970797079707971,17.83178317831783
0.6816326530612244,3.58035803580358,7.920792079207921,18.07180718071807
0.7204081632653061,3.5403540354035394,8.1008100810081,18.391839183918396
0.7591836734693878,3.5103510351035103,8.16081608160816,18.681868186818683
0.7979591836734694,3.46034603460346,8.25082508250825,18.96189618961896
0.836734693877551,3.430343034303431,8.280828082808279,19.211921192119213
0.8755102040816326,3.3803380338033806,8.33083308330833,19.471947194719476
0.9142857142857143,3.3603360336033594,8.300830083008304,19.711971197119713
0.9530612244897959,3.310331033103311,8.400840084008399,19.951995199519956
0.9918367346938776,3.2703270327032703,8.49084908490849,20.222022202220224
1.0306122448979593,3.250325032503251,8.530853085308532,20.472047204720468
1.0693877551020408,3.22032203220322,8.620862086208621,20.732073207320735
1.1081632653061226,3.190319031903191,8.590859085908592,20.932093209320932
1.146938775510204,3.16031603160316,8.690869086908693,21.202120212021203
1.1857142857142857,3.130313031303131,8.690869086908691,21.412141214121412
1.2244897959183674,3.1103110311031097,8.810881088108813,21.68216821682168
1.263265306122449,3.0903090309030903,8.84088408840884,21.902190219021907
1.3020408163265307,3.070307030703071,8.84088408840884,22.112211221122116
1.3408163265306123,3.0503050305030497,8.840884088408842,22.312231223122314
1.379591836734694,3.0003000300030003,8.95089508950895,22.562256225622562
1.4183673469387756,2.98029802980298,8.97089708970897,22.772277227722775
1.4571428571428573,2.9602960296029606,8.92089208920892,22.962296229622968
1.495918367346939,2.9402940294029403,8.99089908990899,23.182318231823185
1.5346938775510206,2.92029202920292,9.120912091209123,23.44234423442344
1.573469387755102,2.9002900290029006,9.1009100910091,23.642364236423646
1.6122448979591837,2.8802880288028803,9.130913091309132,23.84238423842384
1.6510204081632653,2.86028602860286,9.170917091709171,24.062406240624068
1.689795918367347,2.8402840284028406,9.21092109210921,24.272427242724277
1.7285714285714286,2.83028302830283,9.24092409240924,24.472447244724474
1.7673469387755103,2.8102810281028106,9.26092609260926,24.6924692469247
1.806122448979592,2.7902790279027903,9.350935093509353,24.912491249124916
1.8448979591836736,2.8002800280028,9.350935093509351,25.122512251225125
1.8836734693877553,2.77027702770277,9.35093509350935,25.312531253125318
1.922448979591837,2.74027402740274,9.45094509450945,25.53255325532554
1.9612244897959186,2.7302730273027302,9.46094609460946,25.72257225722573
2.0,2.7202720272027205,9.490949094909492,25.932593259325934
