a,Tiempo de despolarización,Tiempo de repolarización,Tiempo de hiperpolarización
-1.0,0.8900890089008868,3.270327032703271,32.313231323132314
-0.9591836734693877,0.890089008900901,2.940294029402935,13.071307130713066
-0.9183673469387755,0.9000900090009054,2.6202620262026244,15.681568156815672
-0.8775510204081632,0.8700870087008639,2.3202320232023226,18.051805180518045
-0.8367346938775511,0.8400840084008365,2.0402040204020437,29.942994299429948
-0.7959183673469388,0.7900790079007862,1.7501750175017534,29.51295129512952
-0.7551020408163265,0.2000200020002012,0.23002300230022854,26.662666266626665
-0.7142857142857143,0.3000300030003,0.2500250025002497,25.752575257525756
-0.6734693877551021,0.42004200420042004,0.26002600260025943,24.982498249824985
-0.6326530612244898,0.47004700470046856,0.2700270027002709,24.532453245324533
-0.5918367346938775,0.5000500050005012,0.24002400240024002,84.74847484748474
-0.5510204081632654,0.49004900490048975,0.23002300230023032,84.76847684768477
-0.5102040816326531,0.2800280028002806,0.26002600260025943,84.93849384938494
-0.4693877551020409,0.41004100410041033,0.1600160016001606,84.84848484848484
-0.4285714285714286,0.35003500350035033,0.1400140014001412,84.86848684868487
-0.3877551020408164,0.1900190019001915,0.16001600160015883,84.94849484948494
-0.34693877551020413,0.08000800080007942,0.060006000600060005,85.06850685068507
-0.30612244897959184,0.1400140014001412,0.12001200120012001,84.80848084808481
-0.26530612244897966,0.0,100.0,0.0
-0.22448979591836737,0.0,100.0,0.0
-0.1836734693877552,0.0,100.0,0.0
-0.1428571428571429,0.0,100.0,0.0
-0.10204081632653073,0.0,100.0,0.0
-0.061224489795918435,0.0,100.0,0.0
-0.020408163265306145,0.0,100.0,0.0
0.020408163265306145,0.0,100.0,0.0
0.06122448979591821,0.0,100.0,0.0
0.1020408163265305,0.0,100.0,0.0
0.1428571428571428,0.0,100.0,0.0
0.18367346938775508,0.0,100.0,0.0
0.22448979591836715,0.0,100.0,0.0
0.26530612244897944,0.0,100.0,0.0
0.30612244897959173,0.0,100.0,0.0
0.346938775510204,0.0,100.0,0.0
0.3877551020408163,0.0,100.0,0.0
0.4285714285714284,0.0,100.0,0.0
0.46938775510204067,0.0,100.0,0.0
0.510204081632653,0.0,100.0,0.0
0.5510204081632653,0.0,100.0,0.0
0.5918367346938773,0.0,100.0,0.0
0.6326530612244896,0.0,100.0,0.0
0.6734693877551019,0.0,100.0,0.0
0.7142857142857142,0.0,100.0,0.0
0.7551020408163265,0.0,100.0,0.0
0.7959183673469385,0.0,100.0,0.0
0.8367346938775508,0.0,100.0,0.0
0.8775510204081631,0.0,100.0,0.0
0.9183673469387754,0.0,100.0,0.0
0.9591836734693877,0.0,100.0,0.0
1.0,0.0,100.0,0.0
