b,Tiempo de despolarización,Tiempo de repolarización,Tiempo de hiperpolarización
0.1,0.0,100.0,0.0
0.1285714285714286,0.0,100.0,0.0
0.15714285714285714,0.0,100.0,0.0
0.18571428571428572,0.0,100.0,0.0
0.2142857142857143,0.0,100.0,0.0
0.24285714285714285,0.0,100.0,0.0
0.27142857142857146,0.0,100.0,0.0
0.3,0.0,100.0,0.0
0.32857142857142857,0.0,100.0,0.0
0.3571428571428571,0.0,100.0,0.0
0.3857142857142857,0.0,100.0,0.0
0.41428571428571426,0.0,100.0,0.0
0.44285714285714284,0.0,100.0,0.0
0.4714285714285714,0.0,100.0,0.0
0.5,0.0,100.0,0.0
0.5285714285714286,0.0,100.0,0.0
0.5571428571428572,0.0,100.0,0.0
0.5857142857142857,0.0,100.0,0.0
0.6142857142857142,0.0,100.0,0.0
0.6428571428571428,0.0,100.0,0.0
0.6714285714285714,0.0,100.0,0.0
0.7,0.07000700070006971,0.07000700070006971,84.95849584958496
0.7285714285714285,0.8500850085008498,0.43004300430042974,84.59845984598459
0.7571428571428571,1.6201620162016201,0.6000600060006,84.38843884388439
0.7857142857142857,2.0202020202020208,0.6500650065006504,84.48844884488449
0.8142857142857143,2.6402640264026402,0.690069006900691,84.39843984398439
0.8428571428571429,2.3702370237023693,1.4901490149014904,84.41844184418441
0.8714285714285713,2.370237023702371,1.7801780178017808,84.56845684568457
0.8999999999999999,2.370237023702371,2.3002300230022996,84.42844284428443
0.9285714285714285,2.4202420242024196,2.4802480248024796,84.52845284528453
0.9571428571428571,2.41024102410241,2.7602760276027603,84.54845484548454
0.9857142857142857,2.3902390239023905,3.150315031503151,84.43844384438444
1.0142857142857142,2.35023502350235,3.4103410341034106,84.43844384438444
1.042857142857143,2.35023502350235,3.570357035703571,84.50845084508451
1.0714285714285714,2.3602360236023614,3.760376037603761,84.45844584458446
1.1,2.3302330233023305,3.9003900390039004,84.50845084508451
1.1285714285714286,2.3302330233023305,4.15041504150415,84.41844184418441
1.1571428571428573,2.310231023102311,4.27042704270427,84.41844184418441
1.1857142857142857,2.3002300230023014,4.350435043504351,84.45844584458446
1.2142857142857144,2.3002300230022996,4.5004500450045,84.46844684468446
1.2428571428571429,2.3002300230022996,4.570457045704572,84.44844484448444
1.2714285714285716,2.2702270227022705,4.700470047004702,84.45844584458446
1.3,2.3002300230023014,4.7104710471047095,84.47844784478448
1.3285714285714285,2.3002300230022996,4.900490049004901,84.35843584358436
1.3571428571428572,2.260226022602261,5.06050605060506,84.34843484348434
1.3857142857142857,2.250225022502251,5.1005100510051005,84.36843684368436
1.4142857142857144,2.2502250225022493,5.150515051505151,84.34843484348434
1.4428571428571428,2.250225022502251,5.260526052605261,84.33843384338434
1.4714285714285715,2.2702270227022705,5.260526052605261,84.30843084308431
1.5,2.2702270227022705,5.330533053305331,84.29842984298429
